player,org,rds,average_combat_score,kill_deaths,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,clutch_won_played,total_kills,total_deaths,total_assists,total_first_kills,total_first_deaths,map_id,agent,region
Thompsondaniel,Rising,235,330.8,2.16,163.7,1.92,0.33,0.15,0.13,46.9,50.4,0.05,451,508,78,35,31,3,Raze,LATAM
Angelamartin,Titan,425,304.2,1.24,155.0,1.29,0.37,0.32,0.15,53.5,46.7,0.58,548,527,157,136,64,2,Phoenix,Russia
Tyler04,Fusion,431,248.0,1.41,215.0,1.92,0.26,0.26,0.13,42.0,50.6,0.09,828,608,112,112,56,7,Neon,China
Wongcody,Nebula,145,342.8,1.17,168.7,0.72,0.71,0.18,0.06,32.4,30.0,0.75,104,170,103,26,9,3,Killjoy,ME
Lorimichael,Legion,172,250.9,1.05,201.0,0.76,0.39,0.21,0.04,40.9,52.0,0.11,131,181,67,36,7,7,Brimstone,Russia
Cortezraymond,Pulse,382,327.6,1.32,176.2,1.26,0.37,0.21,0.14,32.9,26.8,0.3,481,504,141,80,53,3,Sova,China
Gburns,Pulse,221,292.6,1.38,170.7,0.78,0.44,0.01,0.06,25.8,20.8,0.34,172,305,97,2,13,3,Sage,China
Todd79,Rising,330,293.9,1.94,205.4,1.0,0.67,0.34,0.1,41.8,66.8,0.02,330,640,221,112,33,6,Fade,LATAM
Keithsantana,Mystic,281,279.4,1.35,188.0,0.95,0.44,0.21,0.12,39.7,43.1,0.94,267,379,124,59,34,6,Skye,ASIA
Burgessrebecca,OrgZ,313,292.2,1.29,188.1,0.75,0.53,0.21,0.09,42.5,69.9,0.53,235,404,166,66,28,5,Skye,ASIA
Ofernandez,Nebula,173,279.0,1.19,145.8,0.84,0.94,0.22,0.14,35.0,50.6,0.72,145,206,163,38,24,1,KAY/O,Russia
Jimmy65,Spectre,405,303.8,1.05,178.9,0.63,0.57,0.21,0.19,34.8,27.8,0.77,255,425,231,85,77,2,Killjoy,Oceania
Eric22,Revolution,114,334.0,1.24,167.9,1.05,0.38,0.23,0.07,24.9,68.2,0.3,120,141,43,26,8,3,Skye,China
Matthewjenkins,Obsidian,378,305.1,1.32,166.9,0.72,0.56,0.3,0.16,32.6,54.4,0.58,272,499,212,113,60,3,Killjoy,ASIA
Bobknight,Quantum,343,277.3,1.03,156.8,1.01,0.64,0.02,0.22,45.2,14.3,0.8,346,353,220,7,75,4,Cypher,LATAM
Ethansmith,T1A,280,316.3,1.11,178.2,1.02,0.36,0.07,0.04,26.1,51.0,0.14,286,311,101,20,11,7,Astra,ME
Rebekahsmith,Dominion,429,293.8,1.09,163.2,0.64,0.53,0.06,0.15,27.9,14.5,0.81,275,468,227,26,64,3,Viper,Japan
Stephanie28,Nova,135,307.4,1.13,170.2,0.71,0.65,0.29,0.21,47.1,38.7,0.29,96,153,88,39,28,1,Cypher,Oceania
Carrmichelle,Legion,150,330.5,1.01,175.6,1.23,0.49,0.09,0.02,27.7,34.2,0.32,184,152,74,14,3,3,Sage,NA
Kathleenmcclure,Vanguard,434,330.8,1.88,165.4,0.82,0.84,0.23,0.2,40.0,35.7,0.56,356,816,365,100,87,3,Sova,Russia
Megan50,Mystic,202,319.0,1.53,209.1,0.82,0.78,0.25,0.15,32.4,27.7,0.42,166,309,158,50,30,7,Breach,NA
Bakerjessica,Revolution,173,271.9,1.4,157.4,0.47,0.52,0.25,0.22,24.0,38.9,0.99,81,242,90,43,38,2,Cypher,Japan
Rpage,Nova,380,319.2,1.19,188.9,0.89,0.39,0.07,0.04,17.0,13.0,0.86,338,452,148,27,15,4,Brimstone,ASIA
Johnsonalan,Sentinel,247,289.0,1.45,180.4,1.87,0.29,0.23,0.04,32.7,60.7,0.66,462,358,72,57,10,5,Yoru,EU
Xhansen,Mystic,484,283.1,1.06,141.8,0.78,0.61,0.21,0.0,24.4,44.6,0.71,378,513,295,102,0,5,Cypher,ME
Christinesolomon,T1A,170,280.8,1.69,190.2,1.15,0.36,0.17,0.14,37.4,20.3,0.56,195,287,61,29,24,6,Astra,ASIA
Tgilmore,Zenith,283,298.1,1.2,131.6,1.14,0.27,0.34,0.07,46.0,45.0,0.92,323,340,76,96,20,2,Fade,NA
Wardlisa,Obsidian,213,279.3,0.98,165.0,0.76,0.53,0.27,0.22,37.3,58.2,0.18,162,209,113,58,47,7,Cypher,India
Jdaniels,Aegis,205,376.5,1.31,172.5,1.19,0.36,0.29,0.08,40.7,66.2,0.94,244,269,74,59,16,4,Breach,India
Xmadden,Mirage,299,305.7,1.28,148.8,1.0,0.27,0.03,0.21,40.0,40.7,0.14,299,383,81,9,63,3,Cypher,Oceania
Jennifer00,Pulse,440,287.4,1.61,172.4,1.61,0.38,0.34,0.2,45.5,40.8,0.7,708,708,167,150,88,6,Yoru,LATAM
Swalters,Nebula,369,262.5,1.11,170.2,1.11,0.39,0.07,0.12,21.4,24.5,0.74,410,410,144,26,44,5,Cypher,Russia
Klawson,Pulse,116,288.4,0.99,146.3,1.16,0.45,0.21,0.1,36.3,48.7,0.97,135,115,52,24,12,4,Killjoy,India
Berrybrent,Pulse,471,277.3,0.89,141.5,0.75,0.49,0.16,0.02,28.4,23.1,0.14,353,419,231,75,9,7,Sage,China
Nancyscott,Vanguard,272,254.7,1.48,167.8,0.99,0.67,0.04,0.03,46.6,10.7,0.68,269,403,182,11,8,6,Cypher,ME
Shaheric,Quantum,335,250.0,1.15,178.2,0.69,0.31,0.05,0.02,31.3,41.3,0.26,231,385,104,17,7,7,Killjoy,EU
Christopher85,Quantum,229,274.1,1.15,158.0,0.63,0.44,0.3,0.1,23.4,47.0,0.13,144,263,101,69,23,3,KAY/O,EU
Jenkinscynthia,Eclipse,131,300.8,1.56,170.6,1.58,0.38,0.13,0.03,43.8,46.1,0.84,207,204,50,17,4,6,Raze,ME
Bradyperez,Titan,369,277.2,1.42,178.1,1.62,0.2,0.25,0.19,54.6,29.8,0.35,598,524,74,92,70,3,Reyna,Russia
Millersamuel,Spectre,321,275.9,1.06,188.6,0.85,0.75,0.26,0.1,40.8,38.8,0.76,273,340,241,83,32,4,Skye,EU
Meyerchristine,T1A,183,284.6,1.0,170.1,1.01,0.47,0.04,0.13,21.2,31.5,0.2,185,183,86,7,24,5,Sage,NA
Michael02,Spectre,163,319.8,1.87,179.5,1.68,0.41,0.39,0.16,33.2,54.5,0.69,274,305,67,64,26,1,Reyna,Russia
Emilywarner,Eclipse,311,324.7,0.97,137.5,1.11,0.34,0.1,0.08,29.3,30.1,0.16,345,302,106,31,25,1,Astra,NA
Adamswilliam,Fusion,411,305.1,1.35,149.0,1.29,0.39,0.34,0.0,29.3,61.3,0.47,530,555,160,140,0,1,Jett,ME
Emiller,Ascend,137,353.8,1.68,151.1,1.7,0.13,0.15,0.03,37.5,36.3,0.27,233,230,18,21,4,5,Reyna,LATAM
Maddoxannette,Infinity,475,334.8,1.3,186.5,0.79,0.42,0.09,0.02,33.0,18.9,0.06,375,618,200,43,10,2,Omen,ASIA
Terrydeborah,Rising,416,297.1,1.62,178.9,1.27,0.16,0.29,0.07,29.0,64.2,0.25,528,674,67,121,29,2,Phoenix,Oceania
Jennifer67,Zenith,341,303.2,1.59,158.8,0.91,0.59,0.27,0.01,49.5,31.3,0.19,310,542,201,92,3,4,Sage,NA
Patrick56,Radiant,302,328.6,0.79,170.1,0.65,0.26,0.09,0.14,40.8,30.8,0.37,196,239,79,27,42,4,Omen,China
Davidcrystal,Titan,284,261.8,1.51,179.6,1.83,0.14,0.14,0.13,33.2,62.8,0.39,520,429,40,40,37,2,Reyna,LATAM
Torreskyle,Nebula,415,285.6,1.79,185.9,1.16,0.96,0.23,0.05,45.0,34.5,0.36,481,743,398,95,21,7,KAY/O,NA
Susan06,Infinity,160,276.2,1.28,176.0,1.12,0.68,0.09,0.09,26.1,32.9,0.41,179,205,109,14,14,1,Sage,Russia
Cynthia93,Nova,398,269.8,1.38,147.6,0.79,0.35,0.16,0.21,23.5,10.1,0.53,314,549,139,64,84,2,Cypher,ME
Jamesphillips,Dominion,326,291.9,1.57,156.4,0.84,0.5,0.22,0.05,44.3,54.4,0.54,274,512,163,72,16,6,Killjoy,Russia
Pattersonamy,Mirage,392,237.4,0.56,141.4,0.84,0.45,0.18,0.08,34.9,59.3,0.03,329,220,176,71,31,2,Killjoy,ME
Zpeters,Infinity,231,300.0,1.41,207.9,0.76,0.45,0.32,0.06,37.7,44.5,0.49,176,326,104,74,14,4,KAY/O,ASIA
Beckalice,Radiant,144,311.8,1.55,181.0,1.12,0.56,0.16,0.09,36.0,57.0,0.23,161,223,81,23,13,2,Skye,Japan
Christopherhunter,Dominion,258,300.0,0.66,144.8,1.09,0.33,0.08,0.01,34.8,21.9,0.85,281,170,85,21,3,1,Viper,LATAM
Tperez,Ascend,139,277.9,1.75,136.2,1.18,0.2,0.21,0.12,49.0,59.7,0.06,164,243,28,29,17,5,Phoenix,ME
Vwallace,Titan,384,287.8,1.8,176.4,0.62,0.41,0.2,0.06,43.9,22.8,0.26,238,691,157,77,23,2,Omen,India
Chad23,Rising,426,285.7,1.1,161.9,0.46,0.6,0.24,0.02,42.5,13.6,0.48,196,469,256,102,9,6,Omen,ASIA
Michael13,Obsidian,491,270.0,1.4,187.5,1.46,0.72,0.2,0.15,34.2,40.3,0.9,717,687,354,98,74,4,Breach,NA
Adkinskelly,OrgZ,334,263.9,1.15,182.0,0.27,0.23,0.22,0.05,18.1,13.8,0.94,90,384,77,73,17,4,Brimstone,China
Jill58,Mirage,385,302.1,1.99,193.2,1.24,0.15,0.21,0.03,33.3,22.1,0.23,477,766,58,81,12,5,Omen,China
Stephaniecox,Harmony,168,288.9,1.15,182.7,0.61,0.38,0.19,0.06,39.1,36.0,0.04,102,193,64,32,10,5,Omen,Russia
Ostone,Storm,170,295.5,1.25,181.0,0.77,0.68,0.11,0.18,26.2,13.7,0.37,131,212,116,19,31,1,Cypher,Russia
Pturner,Mystic,359,286.9,1.07,174.5,0.63,0.62,0.06,0.2,43.0,50.6,0.76,226,384,223,22,72,6,Sage,Russia
Pmoore,Revolution,314,309.5,1.43,196.0,0.27,0.38,0.34,0.19,26.5,24.7,0.05,85,449,119,107,60,7,KAY/O,Oceania
Pittsmichael,Legion,172,273.3,1.41,200.0,1.13,0.59,0.31,0.13,29.9,62.3,0.46,194,243,101,53,22,1,Breach,Japan
Douglas57,Nova,186,255.6,1.06,172.6,0.72,0.26,0.12,0.13,26.3,34.7,0.81,134,197,48,22,24,6,Killjoy,LATAM
Kimberly24,T1A,210,293.2,1.34,134.4,1.04,0.43,0.06,0.05,16.2,47.9,0.7,218,281,90,13,10,6,Viper,China
Cohenronald,Infinity,231,288.7,1.2,164.5,0.96,0.36,0.23,0.02,33.5,37.9,0.28,222,277,83,53,5,4,Astra,ASIA
Richardtorres,Storm,437,339.6,1.71,178.0,1.3,1.12,0.29,0.11,22.9,26.8,0.97,568,747,489,127,48,5,Breach,ASIA
Cookchristy,Eclipse,190,302.0,1.45,190.4,1.18,0.6,0.09,0.13,33.8,20.1,0.97,224,276,114,17,25,7,Astra,Russia
Jillsullivan,Storm,356,276.6,1.5,143.1,0.61,0.33,0.21,0.06,29.8,48.8,0.91,217,534,117,75,21,6,Cypher,Oceania
Taylorjamie,Valor,383,348.9,1.02,184.3,0.81,0.5,0.09,0.01,32.9,47.1,0.27,310,391,192,34,4,7,Viper,NA
Alexis75,Quantum,141,264.6,1.67,158.7,1.18,0.52,0.2,0.04,31.4,34.5,0.74,166,235,73,28,6,5,Astra,China
Sandovalaaron,Pulse,250,299.6,1.53,204.1,0.96,0.73,0.21,0.08,40.1,62.1,0.02,240,382,182,52,20,3,Breach,ME
Gross,Infinity,139,304.4,1.22,153.7,0.92,0.61,0.22,0.05,40.2,12.6,0.62,128,170,85,31,7,6,Brimstone,Japan
Rjohnson,Legion,317,326.3,1.63,172.5,1.24,0.7,0.28,0.14,49.1,44.5,0.79,393,517,222,89,44,5,KAY/O,Japan
Justinbonilla,Nova,396,322.9,1.35,135.5,1.3,0.18,0.37,0.03,31.5,18.0,0.71,515,535,71,147,12,2,Yoru,NA
Lorireynolds,Legion,223,311.2,1.08,176.0,0.75,0.48,0.24,0.18,27.3,29.5,0.86,167,241,107,54,40,3,Sage,Oceania
Darrellburns,Dominion,176,287.1,1.35,171.5,0.72,0.39,0.11,0.02,30.0,18.1,1.0,127,238,69,19,4,6,Brimstone,EU
Carlafoley,Radiant,498,268.8,1.33,166.1,1.13,0.54,0.13,0.06,22.9,50.3,0.97,563,662,269,65,30,4,Killjoy,EU
Jacob09,Quantum,270,340.0,1.43,200.1,1.54,0.45,0.35,0.04,36.3,49.9,0.85,416,386,122,94,11,3,Reyna,ASIA
Aflores,Sentinel,321,324.6,0.93,161.1,1.12,0.75,0.24,0.09,46.2,41.0,0.47,360,299,241,77,29,2,Fade,ME
Tiffany92,Phantom,221,264.2,1.33,182.3,1.18,0.5,0.14,0.06,29.1,48.8,0.36,261,294,110,31,13,2,Astra,EU
Guerrerothomas,Zenith,453,277.3,0.59,154.3,0.39,0.57,0.35,0.17,37.5,47.4,0.05,177,267,258,159,77,5,Skye,NA
Andrewholloway,Pulse,260,292.6,1.09,145.5,0.57,0.51,0.06,0.23,46.2,16.1,0.28,148,283,133,16,60,4,Sage,ME
Andrewnewton,Legion,164,331.8,1.13,186.0,1.05,0.51,0.16,0.02,17.0,27.3,0.93,172,185,84,26,3,7,Astra,ASIA
Blewis,Obsidian,278,264.8,1.5,203.4,0.94,0.66,0.15,0.16,37.5,53.6,0.62,261,417,183,42,44,2,Sova,Oceania
Yshelton,Legion,171,341.2,1.31,210.0,0.82,0.48,0.15,0.16,30.5,57.9,0.13,140,224,82,26,27,7,Fade,ASIA
Kmunoz,Ascend,254,273.4,1.01,159.9,1.15,0.66,0.17,0.12,32.1,36.8,0.15,292,257,168,43,30,2,Sage,LATAM
Sandrakirby,Infinity,393,306.0,0.8,159.6,0.65,0.54,0.07,0.24,48.2,50.0,0.63,255,314,212,28,94,7,Sage,ASIA
Emilyjames,Sentinel,203,292.4,0.91,158.2,0.71,0.37,0.16,0.13,47.3,33.3,0.08,144,185,75,32,26,3,Killjoy,EU
Ppena,Phantom,407,293.1,1.42,164.4,0.83,0.7,0.03,0.03,44.5,28.5,0.6,338,578,285,12,12,1,Sage,EU
Kristen58,Nebula,337,253.6,1.85,175.3,0.93,0.45,0.13,0.14,35.6,16.6,0.03,313,623,152,44,47,4,Viper,Russia
Lauren07,Dominion,305,294.2,1.47,146.4,0.59,0.21,0.04,0.03,36.3,41.9,0.09,180,448,64,12,9,4,Cypher,Russia
Kathleenthompson,Pulse,405,328.4,1.15,203.7,1.22,0.15,0.15,0.06,36.0,47.3,0.06,494,466,61,61,24,7,Yoru,India
Mary06,Valor,271,283.9,1.62,198.4,0.81,0.47,0.18,0.19,28.8,42.7,0.49,220,439,127,49,51,3,Sova,India
Jacquelinejohnson,Mirage,146,326.7,1.19,194.8,1.45,0.38,0.25,0.14,35.8,62.1,0.27,212,174,55,36,20,1,Neon,EU
Johncastro,Zenith,245,302.4,2.05,158.1,1.42,0.49,0.27,0.12,36.5,49.9,0.88,348,502,120,66,29,6,Fade,Russia
Kingerin,Valor,474,267.0,1.38,165.3,1.31,0.26,0.39,0.1,26.6,49.1,0.27,621,654,123,185,47,6,Reyna,LATAM
Bryanjackson,Mirage,348,290.1,1.2,165.8,1.05,0.45,0.18,0.2,35.1,34.7,0.06,365,418,157,63,70,6,Skye,NA
Stephanie20,Eclipse,384,258.7,1.31,156.1,0.4,0.72,0.17,0.03,23.3,56.4,0.22,154,503,276,65,12,6,Sage,EU
Castillokelly,OrgY,192,343.6,1.18,170.4,1.4,0.36,0.11,0.03,17.5,19.3,0.86,269,227,69,21,6,3,Omen,Japan
Smithcathy,Infinity,469,282.1,1.41,157.9,0.9,0.37,0.16,0.12,28.4,10.2,0.22,422,661,174,75,56,3,Brimstone,Oceania
Jeremyperry,Sentinel,444,311.0,1.31,145.0,0.79,0.45,0.29,0.11,43.9,49.4,0.35,351,582,200,129,49,7,Skye,India
Oliverstephen,Nova,337,321.1,1.63,155.5,1.12,0.79,0.19,0.06,37.4,43.1,0.2,377,549,266,64,20,4,Fade,NA
Gonzalezsusan,Mystic,335,304.5,1.52,182.2,0.8,0.22,0.08,0.14,17.6,33.8,0.2,268,509,74,27,47,6,Omen,LATAM
Cgiles,Infinity,250,410.4,1.22,195.6,1.11,0.38,0.29,0.09,46.6,23.9,0.48,278,305,95,72,22,7,Skye,Oceania
Johnsonbradley,Eclipse,246,288.1,1.13,156.7,0.61,0.2,0.29,0.14,44.2,48.4,0.4,150,278,49,71,34,1,Cypher,Oceania
Tschaefer,Mystic,251,274.6,1.6,197.7,1.62,0.4,0.32,0.17,36.6,40.0,0.9,407,402,100,80,43,5,Phoenix,ME
Gillbrian,Legion,345,295.3,1.33,160.0,1.01,0.47,0.1,0.09,29.7,46.7,0.35,348,459,162,34,31,2,Omen,India
Stephaniesantos,Sentinel,226,280.4,0.86,169.5,0.86,0.5,0.12,0.16,39.9,58.7,0.5,194,194,113,27,36,3,Cypher,Oceania
Kevinhudson,Titan,157,317.6,1.0,190.2,0.74,0.6,0.14,0.13,24.2,45.6,0.83,116,157,94,22,20,3,Sage,EU
Johnsonkimberly,Eclipse,267,259.7,1.73,168.3,1.19,0.22,0.14,0.03,54.0,51.3,0.94,318,462,59,37,8,6,Jett,Oceania
Danielreyes,Nova,184,327.2,1.27,194.9,1.09,0.5,0.31,0.2,34.4,32.6,0.07,201,234,92,57,37,6,Fade,NA
Lbarajas,Harmony,154,360.4,0.92,145.0,1.53,0.31,0.25,0.15,29.3,27.6,0.69,236,142,48,38,23,1,Jett,Russia
Seanmartin,Vanguard,481,245.6,0.86,170.7,0.98,0.24,0.24,0.08,21.3,21.9,0.68,471,414,115,115,38,2,Brimstone,China
Kathryngilbert,Sentinel,344,315.2,1.76,205.7,0.65,0.72,0.15,0.13,35.2,29.5,0.43,224,605,248,52,45,2,Breach,Russia
Ginahess,Nova,477,369.5,1.06,174.1,0.82,0.65,0.23,0.06,35.0,65.9,0.07,391,506,310,110,29,4,KAY/O,ASIA
Staffordmatthew,Quantum,485,260.5,1.24,174.8,0.74,0.62,0.06,0.13,35.9,55.5,0.01,359,601,301,29,63,4,Killjoy,NA
Elizabeth32,Eclipse,216,252.5,1.63,212.0,1.22,0.59,0.23,0.14,46.8,43.0,0.18,264,352,127,50,30,6,Fade,Japan
Loganmelissa,Storm,371,274.3,1.08,194.6,0.59,0.48,0.29,0.14,44.6,55.4,0.82,219,401,178,108,52,3,Sage,NA
David17,OrgY,473,300.1,1.38,151.7,0.65,0.34,0.24,0.18,36.7,45.2,0.42,307,653,161,114,85,3,Sage,ASIA
Jennifernguyen,Obsidian,295,287.1,1.42,186.5,1.28,0.35,0.38,0.13,37.5,63.1,0.52,378,419,103,112,38,2,Raze,LATAM
Tpayne,Nova,170,253.2,1.6,216.9,0.81,0.57,0.23,0.13,35.7,38.4,0.76,138,272,97,39,22,5,Skye,Russia
Destinywoods,Pulse,272,301.9,1.32,172.9,0.45,0.72,0.26,0.14,24.2,48.5,0.26,122,359,196,71,38,7,Skye,ASIA
Yjohnson,Vanguard,348,282.9,1.35,174.5,0.47,0.45,0.17,0.17,20.3,63.7,0.11,164,470,157,59,59,2,Skye,EU
Barberwendy,Aegis,322,310.1,2.02,142.8,1.32,0.36,0.36,0.06,29.4,46.7,0.52,425,650,116,116,19,2,Raze,India
Bradleyburns,Aegis,177,252.7,1.43,166.6,1.52,0.35,0.13,0.05,30.6,24.4,0.89,269,253,62,23,9,1,Jett,Japan
Katherine75,Titan,130,279.3,0.57,178.6,0.71,0.27,0.24,0.04,25.6,10.2,0.85,92,74,35,31,5,6,Viper,China
Samanthasims,Eclipse,177,282.3,0.76,189.9,1.35,0.34,0.39,0.17,43.5,17.1,0.7,239,135,60,69,30,6,Neon,India
Ujohnson,Nebula,327,277.9,1.2,175.6,0.83,0.63,0.29,0.24,44.7,40.4,0.49,271,392,206,95,78,2,Sage,ME
Perezcynthia,Revolution,387,297.8,1.51,167.6,1.23,0.38,0.07,0.04,37.1,38.0,0.44,476,584,147,27,15,5,Omen,ASIA
Stephen10,Pulse,223,325.7,1.8,204.1,0.66,0.34,0.08,0.01,39.2,43.5,0.86,147,401,76,18,2,3,Viper,ME
Amystone,OrgZ,172,245.4,1.29,190.2,0.88,0.43,0.33,0.09,30.1,57.4,0.07,151,222,74,57,15,6,KAY/O,Russia
Shudson,Mystic,126,309.6,1.48,177.5,0.83,0.35,0.22,0.12,21.4,27.5,0.16,105,186,44,28,15,7,Sova,India
Linda60,Eclipse,216,296.5,1.39,162.3,0.64,0.76,0.25,0.11,41.4,38.3,0.12,138,300,164,54,24,2,Sage,ASIA
Justinfitzgerald,OrgZ,496,311.3,1.56,202.4,0.6,0.46,0.21,0.02,39.9,12.6,0.2,298,774,228,104,10,7,Omen,China
Castroallen,T1A,455,314.1,1.46,142.3,1.03,0.39,0.24,0.08,28.5,52.5,0.6,469,664,177,109,36,3,Omen,Japan
Michael36,Dominion,123,278.3,1.31,176.7,0.9,0.61,0.2,0.14,20.3,51.0,0.63,111,161,75,25,17,3,Astra,China
Kathleen10,Legion,185,290.0,1.43,169.6,1.19,0.4,0.28,0.13,36.5,48.5,0.4,220,265,74,52,24,2,Reyna,Russia
Melinda60,Revolution,243,300.4,1.23,164.7,1.18,0.45,0.06,0.05,19.2,34.2,0.6,287,299,109,15,12,7,Viper,Russia
Tbraun,Sentinel,403,300.6,1.27,173.4,0.69,0.73,0.29,0.13,21.6,27.0,0.91,278,512,294,117,52,4,Sova,NA
Christopheryoung,Spectre,266,272.0,1.17,175.0,0.66,0.34,0.0,0.19,26.8,39.9,0.03,176,311,90,0,51,5,Killjoy,Oceania
Jacob36,Legion,377,284.5,1.33,166.9,0.37,0.64,0.19,0.05,26.1,50.9,0.82,139,501,241,72,19,5,Killjoy,ASIA
Ralexander,Quantum,127,316.0,1.55,171.7,1.68,0.32,0.17,0.03,40.4,62.6,0.28,213,197,41,22,4,7,Reyna,NA
Laura03,Nova,368,273.2,0.84,147.4,0.7,0.48,0.19,0.23,37.2,16.3,0.79,258,309,177,70,85,6,Sage,India
Jennifer51,Quantum,254,308.4,1.08,142.7,1.14,0.61,0.18,0.17,34.9,56.3,0.4,290,274,155,46,43,4,Skye,LATAM
Morgandevon,Mirage,485,307.0,1.16,179.8,1.34,0.19,0.24,0.1,27.0,48.8,0.91,650,563,92,116,48,5,Neon,LATAM
Williamsleslie,Aegis,190,265.4,1.06,135.4,0.86,0.71,0.02,0.17,26.9,16.4,0.31,163,201,135,4,32,5,Killjoy,ASIA
Qthomas,OrgY,214,306.7,1.68,177.9,1.32,0.54,0.31,0.16,32.3,43.4,0.21,282,360,116,66,34,7,KAY/O,Oceania
Aaron11,Nebula,452,286.5,1.78,143.0,0.73,0.28,0.22,0.12,31.2,27.2,0.2,330,805,127,99,54,6,Breach,China
Zgriffith,Aegis,404,267.4,1.28,139.1,0.92,0.35,0.03,0.24,49.2,32.3,0.26,372,517,141,12,97,5,Sage,ASIA
Nicholasleon,Legion,398,292.9,1.38,190.2,0.65,0.41,0.08,0.14,15.1,31.8,0.76,259,549,163,32,56,1,Brimstone,India
Sharon25,Pulse,296,310.0,1.32,184.7,1.05,0.54,0.29,0.08,25.3,36.0,0.82,311,391,160,86,24,1,Sova,NA
Catherinebarnes,Rising,300,310.4,1.27,144.7,0.97,0.55,0.17,0.12,37.2,57.5,0.92,291,381,165,51,36,7,KAY/O,LATAM
Nhenson,Nebula,346,255.8,1.39,162.8,0.86,0.41,0.17,0.07,49.1,45.9,0.61,298,481,142,59,24,2,Sage,NA
Hruiz,Nova,424,345.0,1.57,164.1,0.65,0.56,0.32,0.11,21.6,28.3,0.67,276,666,237,136,47,4,KAY/O,NA
Richard29,Infinity,417,258.6,1.57,161.6,1.36,0.36,0.25,0.15,30.3,22.6,0.91,567,655,150,104,63,2,Neon,Oceania
Justin92,Mystic,218,287.5,1.17,201.7,1.13,0.6,0.29,0.05,27.0,33.0,0.96,246,255,131,63,11,3,Fade,Japan
Michael06,Pulse,234,303.9,1.39,157.1,1.04,0.87,0.19,0.09,40.0,35.9,0.73,243,325,204,44,21,4,Skye,LATAM
Yblair,Obsidian,178,259.7,1.31,194.2,0.72,0.56,0.19,0.14,31.0,46.1,0.32,128,233,100,34,25,7,Astra,LATAM
Claire25,OrgY,411,228.0,1.06,190.5,1.05,0.27,0.22,0.08,45.0,31.5,0.55,432,436,111,90,33,3,KAY/O,India
Joseph15,Phantom,105,281.2,1.23,153.3,1.03,0.71,0.1,0.08,26.1,45.9,0.77,108,129,75,10,8,3,Cypher,China
Lkennedy,T1A,346,304.0,1.34,162.7,1.47,0.42,0.29,0.18,39.8,20.2,0.11,509,464,145,100,62,4,Raze,ASIA
Garyclark,Pulse,175,278.9,1.52,161.4,0.99,0.56,0.11,0.05,32.8,43.3,0.38,173,266,98,19,9,5,Omen,ASIA
Crystal56,Titan,416,325.0,1.79,193.5,1.01,0.35,0.07,0.12,44.3,15.7,0.65,420,745,146,29,50,7,Viper,EU
Restrada,OrgY,286,243.9,0.87,162.2,0.67,0.45,0.09,0.02,44.9,15.5,0.48,192,249,129,26,6,7,Cypher,NA
Tcooper,Legion,338,341.2,1.26,188.8,0.97,0.67,0.21,0.07,47.0,69.3,0.33,328,426,226,71,24,5,Sova,Russia
Perrykeith,Aegis,183,271.0,1.34,170.8,1.36,0.2,0.19,0.02,44.7,48.0,0.53,249,245,37,35,4,6,Brimstone,LATAM
Joneschristopher,Legion,498,309.3,0.96,189.3,1.46,0.33,0.35,0.2,48.5,40.9,0.07,727,478,164,174,100,4,Jett,India
Stephanielong,Ascend,169,335.9,2.04,184.5,1.66,0.47,0.3,0.15,42.2,55.4,0.9,281,345,79,51,25,7,Phoenix,Japan
Fsimmons,Legion,268,298.1,1.2,130.1,0.49,0.42,0.12,0.11,49.3,57.2,0.14,131,322,113,32,29,5,Sage,Oceania
Juliamassey,OrgY,206,297.7,1.25,193.2,0.76,0.02,0.1,0.14,22.8,18.9,0.24,157,258,4,21,29,6,Viper,Russia
Jfoster,Nebula,348,272.7,1.05,131.7,0.72,0.49,0.09,0.12,27.1,33.9,0.57,251,365,171,31,42,4,Killjoy,LATAM
Brittanyevans,Titan,141,246.5,1.8,132.3,1.1,0.51,0.31,0.17,36.1,68.9,0.4,155,254,72,44,24,1,Sova,India
Sriley,Radiant,169,307.7,1.23,172.3,1.92,0.52,0.27,0.18,45.5,56.3,0.66,324,208,88,46,30,5,Neon,ASIA
Sarahmorgan,T1A,471,271.2,0.76,180.3,0.96,0.69,0.25,0.18,48.4,64.4,0.26,452,358,325,118,85,6,Skye,LATAM
Zlane,Harmony,427,326.2,1.62,205.1,0.94,0.55,0.2,0.18,29.7,64.4,0.63,401,692,235,85,77,7,Skye,Japan
Brendayang,T1A,248,323.8,1.78,172.9,1.22,0.83,0.25,0.13,27.3,36.5,0.29,303,441,206,62,32,2,KAY/O,China
Wallsrobert,Eclipse,322,267.9,1.95,162.1,0.33,0.66,0.2,0.03,20.1,29.4,0.32,106,628,213,64,10,1,Astra,Japan
Danielrobles,Rising,463,303.7,1.17,146.6,0.75,0.36,0.23,0.15,46.4,15.1,0.54,347,542,167,106,69,6,Killjoy,Oceania
Christopher27,OrgZ,232,311.3,1.62,187.3,1.05,0.24,0.37,0.07,34.0,30.0,0.88,244,376,56,86,16,4,Neon,LATAM
Sanderssamantha,Spectre,190,317.4,1.44,226.6,0.85,0.46,0.15,0.07,46.2,32.1,0.95,162,274,87,28,13,5,Sova,NA
